customer_id,name,email,country,segment,created_at
CUST-00001,Customer 1,customer1@example.com,FR,small-business,2023-07-21T00:00:00
CUST-00002,Customer 2,customer2@example.com,AU,mid-market,2020-05-30T00:00:00
CUST-00003,Customer 3,customer3@example.com,AU,consumer,2020-04-08T00:00:00
CUST-00004,Customer 4,customer4@example.com,US,consumer,2020-09-30T00:00:00
CUST-00005,Customer 5,customer5@example.com,UK,mid-market,2020-03-25T00:00:00
CUST-00006,Customer 6,customer6@example.com,JP,mid-market,2023-03-15T00:00:00
CUST-00007,Customer 7,customer7@example.com,AU,mid-market,2023-08-11T00:00:00
CUST-00008,Customer 8,customer8@example.com,UK,consumer,2021-04-24T00:00:00
CUST-00009,Customer 9,customer9@example.com,IN,consumer,2023-01-24T00:00:00
CUST-00010,Customer 10,customer10@example.com,CA,consumer,2021-03-21T00:00:00
CUST-00011,Customer 11,customer11@example.com,IN,mid-market,2023-08-14T00:00:00
CUST-00012,Customer 12,customer12@example.com,US,mid-market,2023-02-10T00:00:00
CUST-00013,Customer 13,customer13@example.com,JP,mid-market,2021-08-04T00:00:00
CUST-00014,Customer 14,customer14@example.com,US,small-business,2020-04-05T00:00:00
CUST-00015,Customer 15,customer15@example.com,BR,consumer,2021-08-24T00:00:00
CUST-00016,Customer 16,customer16@example.com,UK,consumer,2022-11-18T00:00:00
CUST-00017,Customer 17,customer17@example.com,KR,small-business,2023-01-27T00:00:00
CUST-00018,Customer 18,customer18@example.com,IN,enterprise,2022-01-26T00:00:00
CUST-00019,Customer 19,customer19@example.com,AU,mid-market,2021-02-01T00:00:00
CUST-00020,Customer 20,customer20@example.com,KR,small-business,2022-03-24T00:00:00
CUST-00021,Customer 21,customer21@example.com,US,small-business,2023-01-23T00:00:00
CUST-00022,Customer 22,customer22@example.com,BR,enterprise,2021-12-10T00:00:00
CUST-00023,Customer 23,customer23@example.com,UK,small-business,2020-01-14T00:00:00
CUST-00024,Customer 24,customer24@example.com,BR,consumer,2020-02-07T00:00:00
CUST-00025,Customer 25,customer25@example.com,DE,enterprise,2021-01-08T00:00:00
CUST-00026,Customer 26,customer26@example.com,JP,consumer,2022-08-08T00:00:00
CUST-00027,Customer 27,customer27@example.com,KR,mid-market,2022-01-05T00:00:00
CUST-00028,Customer 28,customer28@example.com,KR,small-business,2020-12-01T00:00:00
CUST-00029,Customer 29,customer29@example.com,BR,mid-market,2021-03-22T00:00:00
CUST-00030,Customer 30,customer30@example.com,FR,consumer,2022-12-16T00:00:00
CUST-00031,Customer 31,customer31@example.com,KR,mid-market,2023-08-01T00:00:00
CUST-00032,Customer 32,customer32@example.com,DE,small-business,2023-09-20T00:00:00
CUST-00033,Customer 33,customer33@example.com,US,consumer,2021-12-30T00:00:00
CUST-00034,Customer 34,customer34@example.com,IN,enterprise,2023-05-02T00:00:00
CUST-00035,Customer 35,customer35@example.com,AU,enterprise,2021-06-06T00:00:00
CUST-00036,Customer 36,customer36@example.com,IN,small-business,2022-07-05T00:00:00
CUST-00037,Customer 37,customer37@example.com,JP,small-business,2023-06-24T00:00:00
CUST-00038,Customer 38,customer38@example.com,UK,small-business,2022-11-29T00:00:00
